video_id,frame1,accident,last,Manner of collision,status
166_M,0,60,85,Sideswipe same direction,
167_M,116,185,215,Front to rear,
168_M,6,70,105,Front to rear,
169_M,0,45,80,Front to rear,
170_M,0,30,65,Angle,
173_M,0,65,90,Angle,
174_M,27,100,126,Front to rear,
175_M,0,55,90,Angle,
177_M,9,80,108,Front to rear,
178_M,1,70,100,Front to rear,
179_M,0,20,50,Angle,
180_M,27,105,126,Angle,
181_M,31,90,130,Angle,
182_M,1,70,100,Angle,
184_M,76,140,175,Angle,
185_M,27,110,126,Front to rear,
187_M,31,100,130,Front to rear,
188_M,0,45,72,N/A,
189_M,0,45,70,Angle,
190_M,0,45,72,Front to rear,
191_M,0,55,85,Angle,
194_M,0,55,85,Front to rear,
195_M,0,90,108,Angle,
196_M,16,80,115,Front to rear,
197_M,0,20,55,Angle,
198_M,0,40,70,N/A,
199_M,16,80,115,Front to rear,
200_M,0,35,54,Angle,
201_M,6,70,105,Sideswipe same direction,
202_M,0,20,45,N/A,
203_M,0,55,75,Front to rear,
205_M,0,50,70,Front to rear,
206_M,0,75,100,Angle,
208_M,0,50,85,Sideswipe same direction,
209_M,0,70,95,Sideswipe same direction,
210_M,9,85,108,Front to rear,
211_M,9,80,108,Angle,
212_M,11,75,110,Front to rear,
213_M,0,60,90,Front to rear,
216_M,0,40,80,Sideswipe same direction,
217_M,0,50,85,Front to rear,
219_M,0,50,72,Angle,
220_M,9,75,108,Angle,
221_M,46,110,145,Front to rear,
222_M,0,65,99,Angle,
223_M,46,125,145,Angle,
227_M,64,130,163,Front to rear,
228_M,1,80,100,Sideswipe same direction,
229_M,16,90,115,Sideswipe same direction,
230_M,0,35,72,Angle,
231_M,46,120,145,Front to rear,
232_M,0,30,60,Angle,
233_M,36,110,135,Angle,
235_M,1,75,100,Sideswipe same direction,
238_M,21,95,120,Angle,
240_M,26,90,125,Front to rear,
242_M,0,55,72,Angle,
243_M,61,130,160,Front to rear,
244_M,6,70,105,N/A,
245_M,0,45,72,Angle,
246_M,16,75,115,Angle,
247_M,0,50,85,Angle,
250_M,0,50,85,Angle,
251_M,46,120,145,N/A,
252_M,0,50,85,Angle,
